x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.166,-0.000,0.230,0.166,0.000,0.228,1.182,1.997,870.191,235.473,45.380
0.154,-0.000,0.230,0.154,0.000,0.230,1.183,2.808,882.860,244.493,26.181
0.141,-0.000,0.230,0.141,0.000,0.230,1.183,2.686,884.669,249.905,48.871
0.129,-0.001,0.231,0.129,0.000,0.230,1.183,1.997,873.811,246.297,48.871
0.104,-0.000,0.233,0.104,0.000,0.233,1.181,2.686,877.430,260.729,45.380
0.091,-0.001,0.233,0.091,0.000,0.233,1.181,2.808,877.430,253.513,55.852
0.079,-0.001,0.235,0.079,0.000,0.233,1.181,1.997,868.381,248.101,47.125
0.066,-0.001,0.237,0.067,0.000,0.235,1.181,1.997,868.381,248.101,47.125
0.042,-0.001,0.237,0.045,0.000,0.237,1.182,2.747,888.289,242.689,38.398
0.031,-0.001,0.238,0.035,0.000,0.237,1.183,1.875,875.620,240.885,47.125
0.021,-0.001,0.240,0.027,0.000,0.238,1.183,1.997,877.430,246.297,34.908
0.012,-0.001,0.240,0.020,0.000,0.240,1.182,2.747,881.050,257.121,34.908
0.000,-0.000,0.242,0.010,0.000,0.240,1.182,1.997,882.860,240.885,36.653
-0.004,-0.000,0.243,0.007,0.000,0.242,1.182,1.936,891.909,257.121,38.398
-0.007,-0.000,0.243,0.005,0.000,0.243,1.180,2.747,884.669,264.336,48.871
-0.009,-0.000,0.243,0.004,0.000,0.243,1.180,2.747,890.099,255.317,36.653
-0.010,-0.000,0.247,0.004,0.000,0.245,1.184,1.997,879.240,237.277,40.144
-0.010,-0.000,0.249,-0.010,-0.000,0.247,1.183,1.936,890.099,255.317,36.653
-0.011,-0.000,0.250,-0.010,-0.000,0.247,1.182,2.058,891.909,260.729,48.871
-0.012,0.000,0.252,-0.010,-0.000,0.246,1.181,1.997,891.909,257.121,41.889
-0.013,-0.000,0.254,-0.007,-0.000,0.240,1.181,1.936,881.050,242.689,24.435
-0.013,-0.000,0.256,-0.004,-0.000,0.234,1.181,2.119,875.620,244.493,47.125
-0.011,-0.000,0.257,0.001,-0.000,0.225,1.182,1.997,881.050,246.297,38.398
-0.007,-0.000,0.257,0.006,-0.000,0.214,1.182,2.625,881.050,246.297,38.398
0.005,-0.001,0.261,0.021,-0.000,0.185,1.182,1.997,888.289,257.121,38.398
0.013,-0.001,0.262,0.031,-0.000,0.168,1.182,1.875,861.142,244.493,43.635
0.023,-0.001,0.262,0.041,-0.000,0.151,1.181,2.747,882.860,258.925,36.653
0.033,-0.001,0.264,0.053,-0.000,0.133,1.182,1.997,886.479,244.493,33.162
0.058,-0.001,0.268,0.077,-0.000,0.098,1.181,1.997,875.620,244.493,36.653
0.071,-0.001,0.268,0.090,-0.000,0.081,1.182,2.747,891.909,249.905,41.889
0.084,-0.002,0.269,0.102,-0.000,0.064,1.180,1.997,890.099,262.533,47.125
0.098,-0.001,0.271,0.115,-0.000,0.048,1.180,1.936,879.240,255.317,33.162
0.124,-0.002,0.273,0.140,-0.000,0.023,1.177,2.808,888.289,264.336,55.852
0.136,-0.002,0.274,0.152,-0.000,0.015,1.178,1.936,862.952,246.297,45.380
0.149,-0.002,0.276,0.165,-0.000,0.008,1.177,2.058,893.719,262.533,47.125
0.163,-0.002,0.278,0.177,-0.000,0.005,1.176,1.936,881.050,257.121,38.398
0.189,-0.002,0.280,0.202,-0.000,0.002,1.176,1.997,872.001,255.317,36.653
0.203,-0.001,0.281,0.215,-0.000,0.002,1.176,1.936,884.669,253.513,27.926
0.216,-0.001,0.283,0.227,-0.000,0.281,1.178,1.997,886.479,248.101,33.162
0.229,-0.001,0.283,0.240,-0.000,0.283,1.178,2.686,900.958,258.925,22.690
0.256,-0.000,0.287,0.265,-0.000,0.285,1.177,2.058,866.571,253.513,41.889
0.269,-0.000,0.288,0.277,-0.000,0.287,1.178,1.875,895.528,249.905,17.454
0.282,-0.000,0.288,0.290,-0.000,0.288,1.179,2.319,895.528,249.905,17.454
0.295,0.000,0.290,0.302,-0.000,0.288,1.180,2.363,853.903,237.277,57.598
0.321,0.000,0.294,0.327,-0.000,0.292,1.182,1.875,897.338,251.709,22.690
0.334,0.000,0.294,0.340,-0.000,0.294,1.180,2.808,879.240,258.925,47.125
0.347,0.000,0.295,0.352,-0.000,0.294,1.180,2.119,879.240,248.101,50.616
0.360,0.000,0.297,0.365,-0.000,0.295,1.178,1.936,870.191,260.729,31.417
0.386,0.000,0.299,0.390,-0.000,0.299,1.181,2.808,877.430,242.689,48.871
0.399,0.000,0.300,0.402,-0.000,0.299,1.180,1.875,868.381,251.709,54.107
0.411,-0.000,0.302,0.415,-0.000,0.300,1.181,1.997,899.148,253.513,38.398
0.424,-0.000,0.304,0.427,-0.000,0.302,1.181,1.997,881.050,249.905,45.380
