x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.485 0.960 0.047 0.972 0.972 0.069 1.303 -24.780 915.436 280.572 106.468
0.495 0.938 0.038 0.981 0.981 0.047 1.295 -10.681 902.768 253.513 111.705
0.507 0.919 0.036 0.990 0.990 0.038 1.279 -2.319 902.768 253.513 111.705
0.521 0.902 0.036 0.999 0.999 0.036 1.255 8.728 899.148 264.336 87.269
0.533 0.884 0.036 1.008 1.008 0.036 1.237 7.507 899.148 264.336 118.686
0.544 0.868 0.044 1.016 1.016 0.036 1.221 9.888 895.528 257.121 101.232
0.557 0.854 0.053 1.025 1.025 0.044 1.207 10.132 895.528 257.121 115.195
0.570 0.841 0.053 1.034 1.034 0.053 1.197 8.545 904.577 273.356 95.996
0.582 0.827 0.053 1.043 1.043 0.053 1.191 6.042 908.197 273.356 113.450
0.595 0.815 0.060 1.052 1.052 0.053 1.185 7.568 920.866 282.376 115.195
0.608 0.805 0.071 1.061 1.061 0.060 1.177 12.329 922.676 258.925 116.941
0.621 0.795 0.071 1.069 1.069 0.071 1.161 21.118 913.626 278.768 132.649
0.634 0.786 0.071 1.078 1.078 0.071 1.144 24.597 919.056 269.748 127.413
0.647 0.779 0.090 1.087 1.087 0.071 1.130 22.400 906.387 278.768 122.177
0.661 0.773 0.105 1.096 1.096 0.090 1.121 16.785 906.387 278.768 122.177
0.674 0.767 0.105 1.105 1.105 0.105 1.125 9.888 928.105 271.552 136.140
0.687 0.762 0.104 1.114 1.114 0.105 1.132 -1.465 922.676 291.396 120.431
0.700 0.759 0.099 1.123 1.123 0.104 1.142 -5.554 931.725 282.376 118.686
0.714 0.756 0.089 1.131 1.131 0.099 1.155 -10.559 917.246 285.984 136.140
0.727 0.753 0.089 1.140 1.140 0.089 1.164 -7.324 920.866 282.376 139.631
0.741 0.752 0.089 1.149 1.149 0.089 1.178 -15.076 928.105 260.729 136.140
0.754 0.752 0.068 1.158 1.158 0.089 1.200 -25.085 919.056 262.533 144.867
0.767 0.752 0.053 1.167 1.167 0.068 1.218 -16.968 911.817 251.709 130.904
0.780 0.753 0.053 1.176 1.176 0.053 1.212 6.226 937.154 255.317 144.867
0.793 0.755 0.053 1.184 1.184 0.053 1.183 32.043 929.915 262.533 127.413
0.806 0.758 0.082 1.193 1.193 0.053 1.151 33.997 920.866 267.944 150.103
0.818 0.762 0.112 1.202 1.202 0.082 1.120 33.875 924.485 285.984 146.612
0.830 0.766 0.112 1.211 1.211 0.112 1.120 13.245 935.344 282.376 153.594
0.841 0.770 0.112 1.220 1.220 0.112 1.129 -2.319 938.964 296.808 139.631
0.854 0.773 0.123 1.229 1.229 0.112 1.128 12.024 926.295 280.572 148.358
0.867 0.777 0.115 1.237 1.237 0.123 1.134 -9.155 928.105 289.592 143.121
0.880 0.781 0.115 1.246 1.246 0.115 1.135 5.127 938.964 267.944 129.158
0.895 0.786 0.115 1.255 1.255 0.115 1.125 6.592 922.676 291.396 141.376
0.910 0.793 0.119 1.264 1.264 0.115 1.110 5.676 935.344 300.416 139.631
0.925 0.799 0.114 1.273 1.273 0.119 1.107 -5.798 931.725 307.631 132.649
0.940 0.807 0.114 1.282 1.282 0.114 1.103 4.395 940.774 298.612 123.922
0.955 0.815 0.114 1.290 1.290 0.114 1.095 11.169 946.203 289.592 132.649
0.969 0.824 0.111 1.299 1.299 0.114 1.097 -3.662 928.105 311.239 132.649
0.984 0.832 0.110 1.308 1.308 0.111 1.108 -1.038 946.203 314.847 115.195
0.997 0.842 0.110 1.317 1.317 0.110 1.096 15.686 951.632 309.435 127.413
1.011 0.851 0.110 1.326 1.326 0.110 1.106 -5.188 938.964 311.239 115.195
1.025 0.861 0.106 1.335 1.335 0.110 1.102 -4.639 946.203 307.631 108.214
1.039 0.871 0.115 1.344 1.344 0.106 1.091 9.460 951.632 316.651 113.450
1.053 0.882 0.115 1.352 1.352 0.115 1.083 14.587 938.964 307.631 104.723
1.067 0.893 0.115 1.361 1.361 0.115 1.082 0.000 917.246 322.063 111.705
1.081 0.904 0.110 1.370 1.370 0.115 1.082 -5.493 953.442 314.847 108.214
1.094 0.916 0.132 1.379 1.379 0.110 1.079 25.391 957.062 322.063 108.214
1.107 0.928 0.132 1.388 1.388 0.132 1.081 2.502 922.676 323.867 106.468
1.121 0.939 0.132 1.397 1.397 0.132 1.090 -4.272 964.301 322.063 97.741
1.133 0.951 0.148 1.405 1.405 0.132 1.084 19.043 946.203 318.455 80.288
1.146 0.963 0.160 1.414 1.414 0.148 1.063 12.634 931.725 325.671 108.214
1.160 0.975 0.160 1.423 1.423 0.160 1.069 -1.404 944.393 341.906 85.524
1.173 0.988 0.160 1.432 1.432 0.160 1.046 22.095 948.013 323.867 85.524
1.186 1.000 0.178 1.441 1.441 0.160 1.010 20.996 946.203 343.710 94.251
1.199 1.013 0.179 1.450 1.450 0.178 1.011 1.770 942.583 347.318 90.760
1.212 1.025 0.179 1.458 1.458 0.179 1.021 -4.822 946.203 336.495 73.306
1.225 1.037 0.179 1.467 1.467 0.179 1.015 -0.671 935.344 340.102 66.325
1.238 1.050 0.183 1.476 1.476 0.179 1.026 5.127 942.583 325.671 83.778
1.251 1.063 0.184 1.485 1.485 0.183 1.032 0.732 942.583 329.279 73.306
1.263 1.076 0.184 1.494 1.494 0.184 1.020 12.207 940.774 327.475 78.542
1.276 1.090 0.184 1.503 1.503 0.184 1.015 16.846 957.062 358.142 69.815
1.289 1.103 0.187 1.511 1.511 0.184 1.022 4.089 935.344 354.534 73.306
1.302 1.116 0.197 1.520 1.520 0.187 1.017 10.559 935.344 354.534 73.306
1.314 1.129 0.197 1.529 1.529 0.197 1.022 4.456 942.583 350.926 80.288
1.326 1.142 0.197 1.538 1.538 0.197 1.029 9.216 937.154 349.122 64.579
1.339 1.156 0.206 1.547 1.547 0.197 1.028 10.620 924.485 343.710 62.834
1.351 1.169 0.221 1.556 1.556 0.206 1.020 17.700 938.964 372.574 73.306
1.363 1.183 0.221 1.564 1.564 0.221 1.021 4.578 933.534 359.946 57.598
1.376 1.197 0.221 1.573 1.573 0.221 1.030 5.249 919.056 356.338 71.561
1.388 1.211 0.236 1.582 1.582 0.221 1.015 17.273 933.534 356.338 75.051
1.400 1.224 0.238 1.591 1.591 0.236 1.013 1.587 920.866 347.318 73.306
1.412 1.237 0.238 1.600 1.600 0.238 1.022 4.150 911.817 359.946 61.088
1.424 1.251 0.238 1.609 1.609 0.238 1.029 -0.427 908.197 367.162 50.616
1.436 1.264 0.246 1.618 1.618 0.238 1.026 9.827 917.246 354.534 59.343
1.448 1.278 0.257 1.626 1.626 0.246 1.003 11.780 917.246 354.534 59.343
1.460 1.292 0.257 1.635 1.635 0.257 1.003 9.521 913.626 372.574 59.343
1.471 1.305 0.257 1.644 1.644 0.257 1.011 -1.770 917.246 365.358 59.343
1.483 1.319 0.262 1.653 1.653 0.257 1.004 6.409 911.817 374.378 50.616
1.495 1.332 0.271 1.662 1.662 0.262 0.993 9.827 911.817 367.162 47.125
