1_est 2_est 3_est 4_est 1_ref 2_ref 3_ref 4_ref
0.785 -12.654 -11.694 0.829 1.333 -12.363 -12.174 1.144
1.091 -12.959 -12.043 0.567 1.364 -12.307 -12.064 1.121
1.047 -12.697 -12.392 1.047 1.339 -12.243 -11.966 1.062
1.353 -12.654 -12.610 1.222 1.370 -12.063 -11.940 1.247
1.702 -12.610 -12.305 0.873 1.514 -11.930 -11.865 1.449
1.658 -12.305 -12.043 0.873 1.599 -11.946 -11.709 1.362
1.571 -11.825 -11.694 1.265 1.573 -11.919 -11.647 1.301
1.527 -11.737 -11.345 1.047 1.551 -11.867 -11.624 1.307
1.440 -11.999 -11.039 0.785 1.580 -11.798 -11.608 1.391
1.265 -11.825 -11.083 0.960 1.600 -11.804 -11.541 1.337
1.222 -11.955 -11.519 1.134 1.577 -11.764 -11.494 1.306
1.353 -12.130 -11.563 0.873 1.564 -11.702 -11.453 1.314
1.745 -12.261 -11.694 0.960 1.520 -11.680 -11.373 1.213
1.658 -11.781 -11.955 1.222 1.470 -11.600 -11.348 1.218
1.614 -11.606 -12.086 1.309 1.437 -11.560 -11.290 1.167
1.876 -11.694 -11.781 1.091 1.497 -11.389 -11.323 1.431
1.745 -11.606 -11.476 1.134 1.578 -11.441 -11.197 1.334
1.396 -11.214 -11.257 1.309 1.518 -11.490 -11.131 1.159
1.571 -11.345 -10.952 1.353 1.437 -11.431 -11.162 1.168
1.614 -11.476 -10.690 1.222 1.468 -11.338 -11.202 1.332
1.527 -11.432 -10.559 1.309 1.540 -11.353 -11.157 1.344
1.571 -11.257 -10.821 1.309 1.567 -11.357 -11.127 1.337
1.396 -11.388 -11.083 1.091 1.570 -11.356 -11.091 1.304
1.396 -11.519 -11.301 1.004 1.559 -11.328 -11.065 1.296
1.396 -11.388 -11.432 1.091 1.506 -11.354 -11.007 1.159
1.178 -11.476 -11.955 1.265 1.405 -11.328 -10.971 1.048
1.222 -11.519 -11.781 1.353 1.337 -11.246 -10.978 1.069
1.571 -11.650 -11.345 1.353 1.297 -11.225 -10.943 1.015
1.484 -11.432 -11.170 1.396 1.236 -11.225 -10.912 0.923
1.484 -11.170 -10.777 1.440 1.260 -11.095 -11.001 1.165
