x_est,y_est,heading_est,x_ref,y_ref,heading_ref,magdwick,gyro,mag_x,mag_y,mag_z
0.160,-0.000,0.239,0.157,0.000,0.239,1.178,2.808,879.240,262.533,40.144
0.147,-0.001,0.239,0.145,0.000,0.239,1.178,2.686,864.762,248.101,54.107
0.121,-0.001,0.242,0.120,0.000,0.240,1.177,1.997,893.719,262.533,40.144
0.107,-0.001,0.242,0.107,0.000,0.242,1.178,2.808,872.001,244.493,43.635
0.094,-0.001,0.242,0.095,0.000,0.242,1.181,2.747,890.099,240.885,36.653
0.081,-0.002,0.244,0.082,0.000,0.242,1.179,1.997,872.001,258.925,36.653
0.055,-0.002,0.246,0.058,0.000,0.246,1.181,2.686,881.050,239.081,38.398
0.041,-0.002,0.246,0.046,0.000,0.246,1.180,2.869,859.332,249.905,45.380
0.029,-0.002,0.247,0.036,0.000,0.246,1.180,1.997,877.430,249.905,38.398
0.017,-0.002,0.249,0.026,0.000,0.247,1.179,1.997,886.479,258.925,43.635
-0.003,-0.002,0.249,0.011,0.000,0.249,1.179,2.808,875.620,244.493,36.653
-0.011,-0.002,0.251,0.006,0.000,0.249,1.181,2.058,879.240,244.493,33.162
-0.018,-0.002,0.253,0.001,0.000,0.251,1.181,1.997,879.240,248.101,36.653
-0.023,-0.002,0.253,-0.002,-0.000,0.253,1.184,2.747,873.811,228.257,34.908
-0.030,-0.001,0.254,-0.005,-0.000,0.253,1.182,2.058,884.669,253.513,34.908
-0.032,-0.001,0.256,-0.005,-0.000,0.254,1.182,1.997,884.669,253.513,34.908
-0.034,-0.001,0.256,-0.005,-0.000,0.256,1.180,2.747,868.381,255.317,40.144
-0.034,-0.001,0.256,-0.034,-0.001,0.256,1.177,2.747,884.669,271.552,45.380
-0.035,-0.001,0.260,-0.033,-0.001,0.255,1.176,1.997,882.860,255.317,33.162
-0.036,-0.001,0.261,-0.032,-0.001,0.253,1.177,1.936,884.669,253.513,38.398
-0.037,-0.001,0.261,-0.030,-0.001,0.250,1.176,2.869,868.381,251.709,50.616
-0.037,-0.002,0.263,-0.027,-0.001,0.243,1.176,1.936,882.860,255.317,33.162
-0.034,-0.002,0.267,-0.017,-0.001,0.223,1.179,2.180,872.001,248.101,47.125
-0.030,-0.002,0.267,-0.010,-0.001,0.210,1.178,2.686,873.811,253.513,38.398
-0.025,-0.002,0.267,-0.002,-0.001,0.194,1.178,2.747,895.528,257.121,27.926
-0.019,-0.002,0.268,0.007,-0.001,0.177,1.179,1.936,888.289,249.905,41.889
-0.002,-0.003,0.270,0.029,-0.001,0.142,1.180,2.808,882.860,240.885,40.144
0.009,-0.003,0.270,0.041,-0.001,0.125,1.179,2.686,870.191,257.121,24.435
0.020,-0.003,0.272,0.054,-0.001,0.107,1.178,2.058,877.430,257.121,45.380
0.031,-0.003,0.274,0.066,-0.001,0.090,1.180,1.936,886.479,244.493,43.635
0.055,-0.003,0.274,0.091,-0.001,0.058,1.176,2.747,875.620,273.356,57.598
0.067,-0.003,0.275,0.104,-0.001,0.044,1.177,1.936,886.479,251.709,57.598
0.079,-0.003,0.277,0.116,-0.001,0.033,1.176,1.997,877.430,257.121,45.380
0.090,-0.003,0.277,0.129,-0.001,0.024,1.178,2.747,868.381,240.885,29.672
0.114,-0.003,0.281,0.154,-0.001,0.014,1.178,1.936,888.289,253.513,34.908
0.126,-0.003,0.282,0.166,-0.001,0.012,1.179,1.997,886.479,248.101,40.144
0.139,-0.003,0.282,0.179,-0.001,0.011,1.179,2.686,872.001,251.709,47.125
0.151,-0.003,0.282,0.191,-0.001,0.011,1.180,2.808,897.338,248.101,26.181
0.176,-0.003,0.286,0.216,-0.001,0.284,1.182,1.875,888.289,246.297,10.472
0.189,-0.003,0.286,0.229,-0.001,0.286,1.178,2.991,864.762,262.533,43.635
0.202,-0.003,0.286,0.241,-0.001,0.286,1.178,2.930,875.620,248.101,47.125
0.214,-0.003,0.287,0.254,-0.001,0.286,1.179,1.813,897.338,251.709,15.708
0.240,-0.002,0.289,0.279,-0.001,0.289,1.179,3.052,861.142,258.925,57.598
0.253,-0.002,0.291,0.291,-0.001,0.289,1.177,1.936,877.430,253.513,27.926
0.266,-0.002,0.292,0.304,-0.001,0.291,1.177,1.875,891.909,253.513,17.454
0.279,-0.002,0.294,0.316,-0.001,0.292,1.177,1.997,872.001,255.317,40.144
0.305,-0.002,0.294,0.341,-0.001,0.294,1.175,2.747,888.289,264.336,34.908
0.318,-0.001,0.296,0.354,-0.001,0.294,1.177,2.058,897.338,248.101,36.653
0.331,-0.001,0.298,0.366,-0.001,0.296,1.178,1.997,882.860,244.493,40.144
0.344,-0.001,0.298,0.379,-0.001,0.298,1.179,2.747,872.001,244.493,47.125
0.370,-0.001,0.299,0.404,-0.001,0.298,1.179,1.997,877.430,257.121,24.435
0.383,-0.001,0.301,0.416,-0.001,0.299,1.180,2.119,873.811,246.297,52.361
0.396,-0.002,0.301,0.429,-0.001,0.301,1.178,2.808,877.430,260.729,24.435
0.409,-0.002,0.303,0.441,-0.001,0.301,1.177,2.058,877.430,260.729,24.435
0.435,-0.001,0.307,0.466,-0.001,0.305,1.177,1.997,881.050,257.121,38.398
0.448,-0.001,0.307,0.479,-0.001,0.307,1.176,2.747,879.240,258.925,40.144
0.462,-0.001,0.307,0.491,-0.001,0.307,1.175,2.808,877.430,257.121,34.908
0.475,-0.001,0.308,0.504,-0.001,0.307,1.176,1.997,872.001,251.709,29.672
0.501,-0.001,0.310,0.529,-0.001,0.310,1.177,2.686,881.050,260.729,34.908
0.514,-0.001,0.310,0.541,-0.001,0.310,1.176,2.930,893.719,262.533,33.162
0.528,-0.000,0.312,0.554,-0.001,0.310,1.177,1.936,891.909,249.905,34.908
0.541,-0.000,0.314,0.566,-0.001,0.312,1.178,2.119,893.719,251.709,47.125
0.567,-0.000,0.314,0.591,-0.001,0.314,1.175,2.747,888.289,267.944,34.908
0.581,0.000,0.315,0.604,-0.001,0.314,1.174,1.936,881.050,260.729,48.871
0.594,0.000,0.317,0.616,-0.001,0.315,1.175,2.180,890.099,255.317,36.653
0.607,0.000,0.317,0.629,-0.001,0.317,1.176,2.686,881.050,249.905,38.398
0.634,0.000,0.321,0.654,-0.001,0.319,1.177,1.997,879.240,248.101,47.125
0.647,0.000,0.322,0.666,-0.001,0.321,1.177,2.058,881.050,257.121,48.871
0.660,0.000,0.322,0.679,-0.001,0.322,1.176,2.747,875.620,258.925,43.635
0.673,0.000,0.324,0.691,-0.001,0.322,1.174,1.997,877.430,264.336,31.417
0.700,0.000,0.328,0.716,-0.001,0.326,1.178,1.997,891.909,246.297,34.908
0.713,0.000,0.328,0.729,-0.001,0.328,1.180,2.747,879.240,237.277,43.635
0.727,0.000,0.328,0.741,-0.001,0.328,1.182,2.869,879.240,237.277,43.635
0.740,0.001,0.329,0.754,-0.001,0.328,1.181,1.997,886.479,255.317,36.653
0.767,0.001,0.331,0.779,-0.001,0.331,1.179,2.686,873.811,260.729,34.908
0.780,0.001,0.331,0.791,-0.001,0.331,1.179,2.808,877.430,253.513,48.871
0.794,0.001,0.333,0.804,-0.001,0.331,1.177,1.875,882.860,262.533,36.653
0.807,0.001,0.335,0.816,-0.001,0.333,1.178,2.119,886.479,248.101,50.616
0.834,0.001,0.335,0.841,-0.001,0.335,1.180,2.808,872.001,248.101,33.162
0.847,0.002,0.336,0.854,-0.001,0.335,1.181,1.875,897.338,251.709,36.653
0.860,0.002,0.338,0.866,-0.001,0.336,1.183,2.058,891.909,239.081,38.398
0.874,0.001,0.338,0.879,-0.001,0.338,1.181,2.808,877.430,257.121,34.908
0.900,0.002,0.340,0.904,-0.001,0.338,1.179,2.058,890.099,258.925,50.616
0.913,0.001,0.342,0.916,-0.001,0.340,1.179,1.936,873.811,249.905,38.398
0.927,0.001,0.342,0.929,-0.001,0.342,1.179,2.869,891.909,257.121,45.380
0.940,0.001,0.342,0.941,-0.001,0.342,1.180,2.747,890.099,251.709,40.144
0.967,0.001,0.345,0.966,-0.001,0.343,1.180,2.058,884.669,249.905,55.852
0.980,0.001,0.345,0.979,-0.001,0.345,1.181,2.808,882.860,244.493,40.144
0.993,0.001,0.345,0.991,-0.001,0.345,1.182,2.747,890.099,244.493,43.635
1.006,0.001,0.347,1.004,-0.001,0.345,1.181,1.997,875.620,255.317,40.144
1.033,0.001,0.349,1.029,-0.001,0.349,1.180,2.686,888.289,260.729,52.361
1.046,0.001,0.349,1.041,-0.001,0.349,1.179,2.869,888.289,260.729,52.361
1.059,0.000,0.351,1.054,-0.001,0.349,1.179,2.058,888.289,253.513,31.417
1.073,0.000,0.352,1.066,-0.001,0.351,1.179,1.997,879.240,251.709,40.144
1.099,0.001,0.352,1.091,-0.001,0.352,1.180,2.747,873.811,253.513,45.380
1.112,0.001,0.354,1.104,-0.001,0.352,1.181,2.119,879.240,240.885,50.616
1.125,0.001,0.356,1.116,-0.001,0.354,1.182,1.875,882.860,244.493,33.162
1.138,0.001,0.356,1.129,-0.001,0.356,1.182,2.808,868.381,248.101,47.125
1.165,0.001,0.358,1.154,-0.001,0.356,1.181,1.997,882.860,262.533,33.162
1.178,0.001,0.359,1.166,-0.001,0.358,1.180,2.058,873.811,253.513,38.398
1.191,0.001,0.359,1.179,-0.001,0.359,1.178,2.686,884.669,264.336,48.871
1.204,0.001,0.359,1.191,-0.001,0.359,1.179,2.747,897.338,255.317,40.144
1.230,0.001,0.363,1.216,-0.001,0.361,1.179,2.058,886.479,251.709,43.635
1.242,0.001,0.363,1.229,-0.001,0.363,1.179,2.625,890.099,255.317,33.162
1.255,0.000,0.363,1.241,-0.001,0.363,1.179,2.869,886.479,251.709,33.162
1.268,0.000,0.364,1.254,-0.001,0.363,1.178,1.813,862.952,257.121,52.361
1.294,0.000,0.366,1.279,-0.000,0.366,1.178,2.686,886.479,248.101,40.144
1.307,0.000,0.366,1.291,-0.000,0.366,1.177,2.747,868.381,255.317,50.616
1.320,0.000,0.368,1.304,-0.000,0.366,1.176,1.936,866.571,257.121,52.361
1.332,0.000,0.370,1.316,-0.000,0.368,1.176,1.997,877.430,253.513,45.380
1.358,0.000,0.370,1.341,-0.000,0.370,1.175,2.747,870.191,246.297,34.908
1.371,0.001,0.371,1.354,-0.000,0.370,1.174,1.997,862.952,260.729,45.380
1.384,0.001,0.373,1.366,-0.000,0.371,1.174,2.119,886.479,255.317,40.144
1.397,0.001,0.373,1.379,-0.000,0.373,1.176,2.686,868.381,244.493,50.616
1.422,0.001,0.375,1.404,-0.000,0.373,1.174,1.936,884.669,253.513,48.871
1.435,0.001,0.377,1.416,-0.000,0.375,1.175,2.119,877.430,253.513,31.417
1.448,0.001,0.377,1.429,-0.000,0.377,1.175,2.686,877.430,253.513,48.871
1.461,0.001,0.377,1.441,-0.000,0.377,1.177,2.808,882.860,244.493,40.144
1.486,0.001,0.380,1.466,-0.000,0.379,1.179,2.058,882.860,251.709,43.635
1.499,0.001,0.380,1.479,-0.000,0.380,1.178,2.808,868.381,258.925,40.144
1.512,0.001,0.380,1.491,-0.000,0.380,1.176,2.686,873.811,260.729,41.889
1.524,0.001,0.382,1.504,-0.000,0.380,1.175,2.058,873.811,260.729,41.889
1.550,0.001,0.384,1.529,-0.000,0.384,1.176,2.747,888.289,260.729,31.417
1.562,0.001,0.384,1.541,-0.000,0.384,1.177,2.747,888.289,253.513,31.417
1.575,0.001,0.386,1.554,-0.000,0.384,1.177,1.997,890.099,255.317,43.635
1.587,0.001,0.387,1.566,-0.000,0.386,1.178,2.058,886.479,248.101,36.653
1.612,0.000,0.387,1.591,-0.000,0.387,1.180,2.747,881.050,242.689,45.380
1.625,0.001,0.389,1.604,-0.000,0.387,1.182,1.997,881.050,239.081,38.398
1.638,0.001,0.391,1.616,-0.000,0.389,1.182,2.058,873.811,249.905,34.908
1.650,0.001,0.391,1.629,-0.000,0.391,1.182,2.747,879.240,251.709,47.125
1.675,0.001,0.393,1.654,-0.000,0.391,1.183,1.936,873.811,239.081,45.380
1.687,0.001,0.394,1.666,-0.000,0.393,1.180,1.997,884.669,264.336,34.908
1.700,0.001,0.396,1.679,-0.000,0.394,1.182,2.058,888.289,242.689,41.889
1.713,0.001,0.396,1.691,-0.000,0.396,1.180,2.625,879.240,258.925,33.162
1.737,0.001,0.400,1.716,-0.000,0.398,1.182,1.936,873.811,239.081,27.926
1.750,0.001,0.401,1.729,-0.000,0.400,1.182,1.997,877.430,249.905,38.398
1.762,0.002,0.401,1.741,-0.000,0.401,1.180,2.747,864.762,255.317,54.107
1.775,0.001,0.403,1.754,-0.000,0.401,1.181,1.875,893.719,251.709,22.690
1.800,0.001,0.407,1.779,-0.000,0.405,1.179,1.936,877.430,253.513,38.398
1.812,0.001,0.407,1.791,-0.000,0.407,1.178,2.808,884.669,260.729,48.871
1.824,0.001,0.408,1.804,-0.000,0.407,1.177,1.997,884.669,260.729,48.871
1.837,0.001,0.410,1.816,-0.000,0.408,1.175,1.936,890.099,269.748,40.144
1.862,0.001,0.412,1.841,-0.000,0.412,1.176,2.625,882.860,262.533,50.616
1.874,0.001,0.414,1.854,-0.000,0.412,1.175,1.997,882.860,262.533,43.635
1.886,0.001,0.415,1.866,-0.000,0.414,1.176,2.058,884.669,253.513,38.398
1.898,0.001,0.417,1.879,-0.000,0.415,1.177,1.936,872.001,248.101,36.653
1.923,0.000,0.419,1.904,-0.000,0.417,1.177,1.936,890.099,258.925,43.635
