x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.520 -0.001 0.226 0.549 -0.001 0.226 1.437 3.601 640.345 -0.845 95.996
0.541 -0.001 0.229 0.570 -0.001 0.226 1.436 3.156 665.682 6.371 95.996
0.562 -0.001 0.231 0.591 -0.001 0.229 1.436 1.997 649.394 11.783 87.269
0.586 -0.000 0.232 0.612 -0.001 0.231 1.440 0.776 642.155 -6.256 97.741
0.609 -0.001 0.232 0.634 -0.001 0.232 1.439 3.357 642.155 11.783 101.232
0.630 -0.001 0.234 0.655 -0.001 0.232 1.438 2.729 662.063 9.979 89.015
0.651 -0.001 0.236 0.676 -0.001 0.234 1.437 2.180 643.965 9.979 82.033
0.675 0.000 0.237 0.697 -0.001 0.236 1.435 1.325 633.106 17.195 99.487
0.698 -0.000 0.237 0.719 -0.001 0.237 1.434 3.357 634.916 15.391 90.760
0.719 -0.001 0.240 0.740 -0.001 0.237 1.431 3.339 647.584 20.803 99.487
0.740 0.000 0.241 0.761 -0.001 0.240 1.432 1.875 653.014 0.959 94.251
0.764 0.001 0.242 0.782 -0.001 0.241 1.434 0.471 618.627 2.763 92.505
0.787 0.000 0.242 0.804 -0.001 0.242 1.434 3.540 636.726 6.371 89.015
0.808 -0.000 0.244 0.825 -0.001 0.242 1.433 2.973 660.253 15.391 97.741
0.830 0.001 0.246 0.846 -0.001 0.244 1.432 1.325 653.014 15.391 73.306
0.853 0.001 0.247 0.867 -0.001 0.246 1.433 1.264 653.014 15.391 73.306
0.876 0.001 0.247 0.889 -0.001 0.247 1.433 3.906 633.106 -0.845 89.015
0.897 0.000 0.249 0.910 -0.001 0.247 1.433 2.729 660.253 8.175 97.741
0.919 0.001 0.250 0.931 -0.001 0.249 1.435 1.325 645.775 4.567 83.778
0.942 0.002 0.252 0.952 -0.001 0.250 1.435 1.447 627.676 15.391 101.232
0.965 0.001 0.252 0.974 -0.001 0.252 1.435 3.662 631.296 0.959 94.251
0.986 0.001 0.254 0.995 -0.001 0.252 1.433 2.363 663.873 18.999 87.269
1.008 0.002 0.255 1.016 -0.001 0.254 1.434 1.630 643.965 6.371 71.561
1.031 0.002 0.257 1.037 -0.001 0.255 1.435 1.691 634.916 8.175 80.288
1.054 0.001 0.257 1.059 -0.001 0.257 1.435 3.723 633.106 6.371 102.978
1.074 0.001 0.259 1.080 -0.001 0.257 1.434 2.424 649.394 15.391 73.306
1.096 0.002 0.260 1.101 -0.001 0.259 1.435 1.203 638.535 4.567 80.288
1.119 0.003 0.261 1.122 -0.001 0.260 1.436 2.058 638.535 4.567 80.288
1.142 0.001 0.261 1.144 -0.001 0.261 1.437 3.784 649.394 4.567 101.232
1.162 0.001 0.263 1.165 -0.001 0.261 1.437 2.302 671.112 4.567 83.778
1.184 0.002 0.265 1.186 -0.001 0.263 1.437 1.447 642.155 11.783 80.288
1.207 0.003 0.267 1.207 -0.001 0.265 1.438 2.119 645.775 4.567 104.723
1.229 0.001 0.267 1.229 -0.001 0.267 1.436 3.479 647.584 20.803 89.015
1.250 0.001 0.268 1.250 -0.001 0.267 1.437 1.875 636.726 2.763 95.996
1.272 0.003 0.269 1.271 -0.001 0.268 1.437 1.325 662.063 9.979 89.015
1.295 0.003 0.272 1.292 -0.001 0.269 1.435 2.485 633.106 17.195 78.542
1.316 0.001 0.272 1.314 -0.001 0.272 1.433 3.540 656.633 18.999 101.232
1.337 0.002 0.273 1.335 -0.001 0.272 1.435 1.508 651.204 2.763 89.015
1.359 0.003 0.274 1.356 -0.001 0.273 1.437 1.325 625.867 2.763 78.542
1.382 0.003 0.276 1.377 -0.001 0.274 1.438 2.790 643.965 2.763 95.996
1.403 0.001 0.276 1.399 -0.001 0.276 1.436 3.113 658.443 13.587 109.959
1.424 0.001 0.278 1.420 -0.001 0.276 1.436 1.813 638.535 8.175 69.815
1.446 0.003 0.279 1.441 -0.001 0.278 1.436 1.630 645.775 15.391 90.760
1.468 0.002 0.282 1.462 -0.001 0.279 1.438 2.668 647.584 -4.453 95.996
1.489 0.001 0.282 1.484 -0.001 0.282 1.438 3.784 649.394 4.567 111.705
1.510 0.001 0.283 1.505 -0.001 0.282 1.438 1.569 656.633 8.175 66.325
1.532 0.003 0.284 1.526 -0.000 0.283 1.434 1.447 631.296 26.215 87.269
1.554 0.002 0.287 1.547 -0.000 0.284 1.434 2.485 627.676 4.567 101.232
1.575 0.001 0.287 1.567 -0.000 0.287 1.435 3.723 645.775 0.959 104.723
1.595 0.002 0.288 1.587 -0.000 0.287 1.437 1.325 662.063 2.763 85.524
1.616 0.003 0.289 1.605 -0.000 0.288 1.439 1.875 634.916 4.567 94.251
1.635 0.003 0.292 1.621 -0.000 0.289 1.439 2.790 640.345 9.979 92.505
1.652 0.001 0.292 1.636 -0.000 0.292 1.440 3.357 649.394 0.959 101.232
1.666 0.002 0.293 1.650 -0.000 0.292 1.441 1.386 634.916 0.959 94.251
1.680 0.004 0.295 1.662 -0.000 0.293 1.439 1.813 640.345 20.803 92.505
1.692 0.002 0.297 1.672 -0.000 0.295 1.435 2.668 634.916 29.823 87.269
1.702 0.001 0.297 1.681 -0.000 0.297 1.433 3.052 647.584 17.195 89.015
1.710 0.003 0.298 1.688 -0.000 0.297 1.434 1.081 638.535 8.175 87.269
1.718 0.003 0.300 1.693 -0.000 0.298 1.436 1.997 645.775 -2.649 94.251
1.724 0.002 0.302 1.697 -0.000 0.300 1.436 2.424 647.584 13.587 92.505
1.727 0.001 0.302 1.700 -0.000 0.302 1.435 2.869 640.345 9.979 92.505
1.730 0.003 0.303 1.701 -0.000 0.302 1.434 1.508 642.155 11.783 94.251
1.731 0.003 0.305 1.700 -0.000 0.303 1.434 2.485 642.155 11.783 94.251
1.731 0.001 0.308 1.699 -0.000 0.305 1.434 2.973 643.965 9.979 89.015
1.728 0.001 0.308 1.696 -0.000 0.308 1.435 2.808 643.965 -4.453 89.015
1.725 0.003 0.309 1.692 -0.000 0.308 1.435 1.386 651.204 9.979 85.524
1.722 0.002 0.311 1.689 -0.000 0.309 1.434 2.607 627.676 11.783 90.760
